id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1514269044471328771,1514269044471328771,2022-04-13 11:47:28 Eastern Daylight Time,2022-04-13,11:47:28,-0400,17471518,yadavaman,Aman Yadav,,New article with @mariekheath on how we can reshape K-12 #CSEd to be justice-oriented by focusing on criticality and community. Thanks to @ruha9 and @schock whose work informed our thinking. @AECTTechTrends  https://t.co/wlBuU1Soor  https://t.co/TOsVT9GNj4,en,"[{'screen_name': 'mariekheath', 'name': 'dr. marie ponzillo heath', 'id': '2503230714'}, {'screen_name': 'ruha9', 'name': 'ruha benjamin', 'id': '49129289'}, {'screen_name': 'schock', 'name': 'sasha costanza-chock', 'id': '6466252'}, {'screen_name': 'aecttechtrends', 'name': 'techtrends editor', 'id': '804807943'}]",['http://rdcu.be/cLdUc'],['https://pbs.twimg.com/media/FQPDot5UYAMOEt7.jpg'],0,5,12,['csed'],[],https://twitter.com/yadavaman/status/1514269044471328771,False,,1,https://pbs.twimg.com/media/FQPDot5UYAMOEt7.jpg,,,,,,,[],,,,
1514263661174435845,1514263661174435845,2022-04-13 11:26:05 Eastern Daylight Time,2022-04-13,11:26:05,-0400,14964856,geraldardito,Gerald Ardito,,I am very much looking forward to sharing this presentation on #csed later today at #SITE2022 @SITEconf @site4CTSIG @jondron @mrtomocon @tomliamlynch @BetulCzerkawski @ManhattanEdu  https://t.co/AM7YOvFeqJ,en,"[{'screen_name': 'siteconf', 'name': 'site conference', 'id': '17079672'}, {'screen_name': 'site4ctsig', 'name': 'site ct sig', 'id': '856688408437170181'}, {'screen_name': 'jondron', 'name': 'jon dron', 'id': '1258181'}, {'screen_name': 'mrtomocon', 'name': ""tom o'connell (he/him/his) 🏳️\u200d🌈"", 'id': '15810026'}, {'screen_name': 'tomliamlynch', 'name': 'tom liam lynch, ed.d.', 'id': '16987591'}, {'screen_name': 'betulczerkawski', 'name': 'betul czerkawski', 'id': '2437405002'}, {'screen_name': 'manhattanedu', 'name': 'manhattan college', 'id': '385107877'}]",['https://drardito.github.io/SITE2022/RoboticsPlay/#/'],[],0,2,3,"['csed', 'site2022']",[],https://twitter.com/geraldardito/status/1514263661174435845,False,,0,,,,,,,,[],,,,
1514248094749237250,1514248094749237250,2022-04-13 10:24:13 Eastern Daylight Time,2022-04-13,10:24:13,-0400,2891357315,csforalltchrs,CS for All Teachers,,#CSforAll and #CSed community: we (@AIRInforms) are hiring a researcher with science or computer science education experience (with no required relocation in the US)! Check it out and share with your networks!  https://t.co/f2QssW2dmH,en,"[{'screen_name': 'airinforms', 'name': 'american institutes for research', 'id': '30913636'}]",['https://jobs-airdc.icims.com/jobs/12161/researcher%2c-science-or-computer-science-education/job?mobile=true&width=390&height=606&bga=true&needsRedirect=false&jan1offset=-480&jun1offset=-420'],[],0,0,1,"['csforall', 'csed']",[],https://twitter.com/CSforAllTchrs/status/1514248094749237250,False,,0,,,,,,,,[],,,,
1514242176993140747,1514242176993140747,2022-04-13 10:00:42 Eastern Daylight Time,2022-04-13,10:00:42,-0400,793950370842087425,bootuppd,BootUp,,"As one of the most diverse school districts in the nation, @TukwilaSchools is driving change and inspiring young learners to explore their passions through computer science and code. Take a look at how they're revolutionizing the culture of education #CSEd #AmazonFutureEngineer  https://t.co/rOI4wX1IWe",en,"[{'screen_name': 'tukwilaschools', 'name': 'tukwila schools', 'id': '1706465407'}]",[],[],0,1,2,"['csed', 'amazonfutureengineer']",[],https://twitter.com/BootUpPD/status/1514242176993140747,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1514241099430248455/pu/img/fvlf4f-fbCimCE-S.jpg,,,,,,,[],,,,
1514091063631220738,1514091063631220738,2022-04-13 00:00:14 Eastern Daylight Time,2022-04-13,00:00:14,-0400,576750037,josephpwilson,Joey Wilson 🏳️‍🌈,,#CSforAll and #CSed community: we (@AIRInforms) are hiring a researcher with science or computer science education experience (with no required relocation in the US)! Check it out and share with your networks!  https://t.co/ixurIJ8lcH,en,"[{'screen_name': 'airinforms', 'name': 'american institutes for research', 'id': '30913636'}]",['https://jobs-airdc.icims.com/jobs/12161/researcher%2c-science-or-computer-science-education/job?mobile=true&width=390&height=606&bga=true&needsRedirect=false&jan1offset=-480&jun1offset=-420'],[],1,1,3,"['csforall', 'csed']",[],https://twitter.com/josephpwilson/status/1514091063631220738,False,,0,,,,,,,,[],,,,
1514038167057444873,1514038167057444873,2022-04-12 20:30:03 Eastern Daylight Time,2022-04-12,20:30:03,-0400,1529491320,educationbsd,BSD Education,,Is your Digital Skills Learning program as effective as it can be? ⁠ ⁠ Take a free assessment today to get a sense⁠ of your readiness to build a successful and sustainable computer science program at your school. Get started here!  https://t.co/G30bDNTGFL ⁠ #CSed #CSforAll,en,[],['https://l8r.it/93ly'],[],0,0,0,"['csed', 'csforall']",[],https://twitter.com/EducationBSD/status/1514038167057444873,False,,0,,,,,,,,[],,,,
1513901491907616771,1513901491907616771,2022-04-12 11:26:57 Eastern Daylight Time,2022-04-12,11:26:57,-0400,2482500352,mrstbauerly,Teri Bauerly,,This 💯.  We've gotta start thinking critically about these big shiny companies &amp; orgs. What's their purpose? What's their experience? Who are they accountable to? Feels like the goal of #CSEd for everyone quickly became CS skills training for big companies because capitalism.,en,[],[],[],0,0,0,['csed'],[],https://twitter.com/mrstbauerly/status/1513901491907616771,False,https://twitter.com/ShanaVWhite/status/1513871922580369422,0,,,,,,,,[],,,,
1513871922580369422,1513871922580369422,2022-04-12 09:29:27 Eastern Daylight Time,2022-04-12,09:29:27,-0400,2318665192,shanavwhite,Shana V. White (she/her),,"I beg people in the #CSed community to listen more to other people actually doing the work. Stop accepting information and claims from ""leaders"" that is old and out of touch with K-12 spaces.   Nothing will change if y'all don't publicly push back against these bad narratives.",en,[],[],[],1,4,29,['csed'],[],https://twitter.com/ShanaVWhite/status/1513871922580369422,False,,0,,,,,,,,[],,,,
1513662971490222082,1513662971490222082,2022-04-11 19:39:09 Eastern Daylight Time,2022-04-11,19:39:09,-0400,375621233,marlobarnett,Dr. Marlo Barnett,,I have worked hard in this state #Illinois for #CSed #CS for the last 5 years. I will not be pushed out by people who wish I would go away! Don’t talk to me like I’m a child! I am a professional and demand respect!!,en,[],[],[],0,1,2,"['illinois', 'csed', 'cs']",[],https://twitter.com/marlobarnett/status/1513662971490222082,False,,0,,,,,,,,[],,,,
1513607947397615622,1513607947397615622,2022-04-11 16:00:30 Eastern Daylight Time,2022-04-11,16:00:30,-0400,2318665192,shanavwhite,Shana V. White (she/her),,Well done!! #CSed teachers check this out.,en,[],[],[],0,0,5,['csed'],[],https://twitter.com/ShanaVWhite/status/1513607947397615622,False,https://twitter.com/replit/status/1513553283905896449,0,,,,,,,,[],,,,
